row_no,mandator,provider_id,customer_id,syndicate_id,star1,star2,num_combi,n1,n2,n3,n4,n5,drawtype,drawdate,stake,currency,gametype
16648,JXC,JXC112435546,731989,3469912,8,10,14~29~30~39~41,14,29,30,39,41,TU,01.01.2019,2.00,EUR,EUMI
16649,JXC,JXC112435546,731989,3469912,5,10,2~7~16~18~19,2,7,16,18,19,TU,01.01.2019,2.00,EUR,EUMI
16650,JXC,JXC112435547,731989,3469912,3,10,1~13~21~27~28,1,13,21,27,28,TU,01.01.2019,2.00,EUR,EUMI
16651,JXC,JXC112435547,731989,3469912,10,11,2~3~22~31~40,2,3,22,31,40,TU,01.01.2019,2.00,EUR,EUMI
16652,JXC,JXC112435547,731989,3469912,1,8,1~19~25~30~35,1,19,25,30,35,TU,01.01.2019,2.00,EUR,EUMI
16653,JXC,JXC112435547,731989,3469912,6,9,3~13~14~26~40,3,13,14,26,40,TU,01.01.2019,2.00,EUR,EUMI
16654,JXC,JXC112435547,731989,3469912,5,7,14~25~34~47~49,14,25,34,47,49,TU,01.01.2019,2.00,EUR,EUMI
16655,JXC,JXC112435578,731989,3161830,1,7,5~7~18~34~46,5,7,18,34,46,TU,01.01.2019,2.00,EUR,EUMI
16656,JXC,JXC112435578,731989,3161830,6,9,14~19~30~43~44,14,19,30,43,44,TU,01.01.2019,2.00,EUR,EUMI
16657,JXC,JXC112435578,731989,3161830,6,12,5~9~19~36~39,5,9,19,36,39,TU,01.01.2019,2.00,EUR,EUMI
16658,JXC,JXC112435578,731989,3161830,3,9,15~26~34~38~50,15,26,34,38,50,TU,01.01.2019,2.00,EUR,EUMI
16659,JXC,JXC112435578,731989,3161830,6,12,4~17~19~27~42,4,17,19,27,42,TU,01.01.2019,2.00,EUR,EUMI
16660,JXC,JXC112435579,731989,3161830,6,11,25~28~31~39~46,25,28,31,39,46,TU,01.01.2019,2.00,EUR,EUMI
16661,JXC,JXC112435579,731989,3161830,6,11,19~33~35~36~44,19,33,35,36,44,TU,01.01.2019,2.00,EUR,EUMI
16662,JXC,JXC112435579,731989,3161830,2,10,10~17~21~48~50,10,17,21,48,50,TU,01.01.2019,2.00,EUR,EUMI
16663,JXC,JXC112435579,731989,3161830,2,11,6~26~32~38~41,6,26,32,38,41,TU,01.01.2019,2.00,EUR,EUMI
16664,JXC,JXC112435579,731989,3161830,2,8,2~12~37~46~49,2,12,37,46,49,TU,01.01.2019,2.00,EUR,EUMI
16665,JXC,JXC112435580,731989,3161830,1,6,5~24~32~34~42,5,24,32,34,42,TU,01.01.2019,2.00,EUR,EUMI
16666,JXC,JXC112435580,731989,3161830,10,12,4~5~15~32~40,4,5,15,32,40,TU,01.01.2019,2.00,EUR,EUMI
16667,JXC,JXC112435580,731989,3161830,5,11,5~18~30~33~40,5,18,30,33,40,TU,01.01.2019,2.00,EUR,EUMI
16668,JXC,JXC112435580,731989,3161830,11,12,5~10~12~45~47,5,10,12,45,47,TU,01.01.2019,2.00,EUR,EUMI
16669,JXC,JXC112435580,731989,3161830,5,7,4~15~16~36~42,4,15,16,36,42,TU,01.01.2019,2.00,EUR,EUMI
16670,JXC,JXC112435581,731989,3161831,3,5,1~2~14~40~43,1,2,14,40,43,TU,01.01.2019,2.00,EUR,EUMI
16671,JXC,JXC112435581,731989,3161831,2,11,13~16~17~35~39,13,16,17,35,39,TU,01.01.2019,2.00,EUR,EUMI
16672,JXC,JXC112435581,731989,3161831,4,5,3~25~36~46~49,3,25,36,46,49,TU,01.01.2019,2.00,EUR,EUMI
16673,JXC,JXC112435581,731989,3161831,5,7,19~22~34~37~47,19,22,34,37,47,TU,01.01.2019,2.00,EUR,EUMI
16674,JXC,JXC112435581,731989,3161831,4,12,11~15~22~34~50,11,15,22,34,50,TU,01.01.2019,2.00,EUR,EUMI
16675,JXC,JXC112435582,731989,3161831,6,11,5~22~27~45~47,5,22,27,45,47,TU,01.01.2019,2.00,EUR,EUMI
16676,JXC,JXC112435582,731989,3161831,2,3,2~20~41~44~50,2,20,41,44,50,TU,01.01.2019,2.00,EUR,EUMI
16677,JXC,JXC112435582,731989,3161831,1,8,9~12~20~25~32,9,12,20,25,32,TU,01.01.2019,2.00,EUR,EUMI
16678,JXC,JXC112435582,731989,3161831,8,11,3~12~14~28~41,3,12,14,28,41,TU,01.01.2019,2.00,EUR,EUMI
